story	status	duration_ms	oracle	failure
Components/Connections/Atlassian/EditScope Embedded smoke-test	passed	34	smoke	
Components/Connections/GitHubPrerequisiteStep Slack smoke-test	passed	186	smoke	
Components/Connections/GitHubPrerequisiteStep Notion smoke-test	passed	34	smoke	
Components/Connections/GitHubPrerequisiteStep Confluence smoke-test	passed	33	smoke	
Components/Connections/GitHubPrerequisiteStep Linear smoke-test	passed	34	smoke	
Components/Workspaces/NavRow Multiple Workspaces smoke-test	passed	185	smoke	
Components/Workspaces/NavRow Single Workspace smoke-test	passed	35	smoke	
Components/Workspaces/NavRow Collapsed Nav smoke-test	passed	32	smoke	
Components/Workspaces/NavRow Open With Conversations smoke-test	passed	43	smoke	
Components/Workspaces/CreateForm Zero Workspaces play-test	failed	1117	play	"  Unable to find role=""list"" and name `/repositories/i`  Ignored nodes: comments, script, style <div   id=""storybook-root"" >   <div     class=""min-h-screen bg-background font-sans text-foreground antialiased""   >     <div       class=""min-h-[28rem] bg-zinc-950 px-6 py-16""     >       <div         class=""w-full""       >         <h1           class=""text-lg font-medium tracking-tight""         >           Add Workspace         </h1>         <p           class=""mt-2 text-sm text-muted-foreground""         >           Select the repository that will be the source of truth for all the context in this"
Components/Workspaces/CreateForm Select Git Hub play-test	failed	1331	play	"  Unable to find role=""list"" and name `/repositories/i`  Ignored nodes: comments, script, style <div   id=""storybook-root"" >   <div     class=""min-h-screen bg-background font-sans text-foreground antialiased""   >     <div       class=""min-h-[28rem] bg-zinc-950 px-6 py-16""     >       <div         class=""w-full""       >         <h1           class=""text-lg font-medium tracking-tight""         >           Add Workspace         </h1>         <p           class=""mt-2 text-sm text-muted-foreground""         >           Select the repository that will be the source of truth for all the context in this"
Components/Workspaces/CreateForm Create On Git Hub play-test	passed	384	play	
Components/Workspaces/CreateForm Save Error play-test	passed	304	play	
Components/Onboarding/Slides/CreateOrg Empty smoke-test	passed	223	smoke	
Components/Onboarding/Slides/CreateOrg Validation Error play-test	failed	44	play	"  expect(element).toBeVisible()  Received element is not visible:   <p   class=""mb-4 text-xs text-red-400"" />      at <anonymous>:367:16     at evaluate (/private/var/folders/9t/jj9rnpps7_ddb72c1mq2k13w0000gn/T/c074bc092911af3a35c92415033685a1/components-onboarding-slides-createorg.test.js:75:31)     at Object.testFn (/private/var/folders/9t/jj9rnpps7_ddb72c1mq2k13w0000gn/T/c074bc092911af3a35c92415033685a1/components-onboarding-slides-createorg.test.js:109:15)     at Promise.finally.completed (/private/tmp/ctxpipe-gate0-browser-tools/node_modules/jest-circus/build/jestAdapterInit.js:1834:28)  "
Components/Onboarding/Slides/CreateOrg Create Failed play-test	failed	1097	play	"  Unable to find an element with the text: /failed to create organisation/i. This could be because the text is broken up by multiple elements. In this case, you can provide a function for your text matcher to make your matcher more flexible.  Ignored nodes: comments, script, style <div   id=""storybook-root"" >   <div     class=""min-h-screen bg-background font-sans text-foreground antialiased""   >     <div       class=""max-w-xl rounded-none border border-border bg-zinc-950 p-8 text-left""     >       <h2         class=""onb-in-1 mb-4 text-3xl font-semibold text-zinc-100 sm:text-4xl""       >       "
Components/Onboarding/Slides/CreateOrg Creating Organization play-test	failed	4095	play	"  expected ""onOrgCreated"" to be called at least once  Ignored nodes: comments, script, style <html   class=""dark""   lang=""en"" >   <head>               <meta       charset=""utf-8""     />               <title>       components-onboarding-slides-createorg--creating-organization     </title>               <meta       content=""width=device-width, initial-scale=1""       name=""viewport""     />                                     <base       target=""_parent""     />                                                          <link       crossorigin=""""       href=""./assets/preload-helper-PPVm8Dsz.js""      "
Components/Workspaces/Chat Compose Empty smoke-test	passed	289	smoke	
Components/Workspaces/Chat Conversation Loading smoke-test	passed	38	smoke	
Components/Workspaces/Chat Conversation Missing smoke-test	passed	43	smoke	
Components/Workspaces/Chat Conversation Ready smoke-test	passed	33	smoke	
Components/Workspaces/NavList Multiple Workspaces smoke-test	passed	216	smoke	
Components/Workspaces/NavList Single Workspace smoke-test	passed	39	smoke	
Components/Workspaces/NavList Empty smoke-test	passed	33	smoke	
Components/Workspaces/NavList Loading smoke-test	passed	26	smoke	
Components/Connections/Atlassian/Steps/LinkAtlassian Ready to sign in (3LO saved) smoke-test	passed	209	smoke	
Components/Connections/Atlassian/Steps/LinkAtlassian Global env OAuth only smoke-test	passed	33	smoke	
Components/Connections/Atlassian/Steps/LinkAtlassian Self-hosted 3LO not saved (wizard orphan edge) smoke-test	passed	32	smoke	
Components/Knowledge Graph/Cosmograph Canvas Native Legends smoke-test	passed	193	smoke	
Components/Knowledge Graph/Cosmograph Canvas Pane Narrow smoke-test	passed	28	smoke	
Components/Knowledge Graph/Cosmograph Canvas Pane Wide smoke-test	passed	27	smoke	
Pages/Workspaces/New Loading play-test	passed	276	play	
Pages/Workspaces/New Paste Url play-test	passed	103	play	
Pages/Workspaces/New Select Git Hub play-test	failed	1031	play	"  Unable to find role=""list"" and name `/repositories/i`  Ignored nodes: comments, script, style <div   id=""storybook-root"" >   <div     class=""min-h-screen bg-background font-sans text-foreground antialiased""   >     <div       class="" relative flex min-h-screen min-w-0 bg-zinc-950 text-zinc-100""     >       <div         aria-hidden=""true""         class=""pointer-events-none fixed inset-0 z-0 opacity-50""         style=""background-image: radial-gradient(circle at 20% -10%, rgba(64, 224, 208, 0.14), transparent 45%), radial-gradient(circle at 90% 110%, rgba(59, 130, 246, 0.12), transparent 40%), "
Pages/Workspaces/New Create On Git Hub play-test	passed	30	play	
Components/Connections/NotionSetupDialog Loading smoke-test	passed	279	smoke	
Components/Connections/NotionSetupDialog Resource Selection smoke-test	passed	51	smoke	
Components/Connections/NotionSetupDialog Target Repository smoke-test	passed	53	smoke	
Components/Connections/Atlassian/SpacePageTree List smoke-test	passed	247	smoke	
Components/Connections/Atlassian/SpacePageTree Loading smoke-test	passed	33	smoke	
Components/Connections/Atlassian/SpacePageTree Error smoke-test	passed	34	smoke	
Components/Workspaces/HydrateProgress Hydrating smoke-test	passed	206	smoke	
Components/Workspaces/HydrateProgress Waiting For Tip smoke-test	passed	44	smoke	
Components/Workspaces/HydrateProgress Failed smoke-test	passed	37	smoke	
Components/Knowledge Graph/Node Detail Populated smoke-test	passed	227	smoke	
Components/Knowledge Graph/Node Detail Isolated smoke-test	passed	61	smoke	
Components/Knowledge Graph/Node Detail Closed smoke-test	passed	29	smoke	
App/SideNav Single Workspace smoke-test	passed	242	smoke	
App/SideNav Multiple Workspaces smoke-test	passed	57	smoke	
App/SideNav Collapsed play-test	passed	73	play	
Components/Connections/Atlassian/Steps/SelectSyncTarget Select Sync Target smoke-test	passed	282	smoke	
Components/Connections/Atlassian/Steps/SelectSyncTarget Loading Repos smoke-test	passed	53	smoke	
Components/Connections/Atlassian/AccountClaim Account Claim Modal smoke-test	passed	158	smoke	
Components/Connections/Atlassian/AccountClaim Content Only smoke-test	passed	33	smoke	
Components/Onboarding/Mcp/PreviewDiff Additions And Removals smoke-test	passed	178	smoke	
Components/Onboarding/Mcp/PreviewDiff Unchanged Only smoke-test	passed	24	smoke	
Components/Connections/AddNotionConnectorButton Idle smoke-test	passed	175	smoke	
Components/Connections/AddNotionConnectorButton Starting smoke-test	passed	30	smoke	
Components/Onboarding/Slides/Welcome Welcome Animation smoke-test	passed	178	smoke	
Components/Onboarding/Slides/Welcome Fully Revealed play-test	failed	282	play	"  expected ""onWelcomeDetailsVisible"" to be called at least once   --------------------------------------------------  Browser logs:  [1m[34mlog[39m[22m: Request, {""url"":""http://127.0.0.1:6016/.auth/api/config"",""method"":""GET"",""headers"":{""accept"":""*/*""},""body"":""""}  [1m[34mlog[39m[22m: Handler:, {""kind"":""request"",""options"":{},""info"":{""header"":""GET */.auth/api/config"",""path"":""*/.auth/api/config"",""method"":""GET"",""callFrame"":""http://127.0.0.1:6016/assets/iframe-DRQfpQ-N.js:1124:4289""},""isUsed"":true}  [1m[34mlog[39m[22m: Response, {""status"":200,""statusText"":""OK"",""headers"":{""content-length"""
Components/Connections/AddConnectionModal Open smoke-test	passed	209	smoke	
Components/Connections/AddConnectionModal With Actions smoke-test	passed	49	smoke	
Components/Connections/Atlassian/AddButton Idle smoke-test	passed	208	smoke	
Components/Connections/Atlassian/AddButton Submitting smoke-test	passed	32	smoke	
Components/Onboarding/Slides/JoinerDone Ready smoke-test	passed	187	smoke	
Components/Onboarding/Slides/JoinerDone Completing smoke-test	passed	28	smoke	
Components/Workspaces/CommandPalette Open smoke-test	passed	240	smoke	
Components/Workspaces/CommandPalette No Results play-test	failed	23	play	"  Unable to find an element with the placeholder text of: Jump to…  Ignored nodes: comments, script, style <div   id=""storybook-root""   inert="""" >   <div     class=""min-h-screen bg-background font-sans text-foreground antialiased""   /> </div>      at <anonymous>:367:16     at evaluate (/private/var/folders/9t/jj9rnpps7_ddb72c1mq2k13w0000gn/T/c074bc092911af3a35c92415033685a1/components-workspaces-commandpalette.test.js:75:31)     at Object.testFn (/private/var/folders/9t/jj9rnpps7_ddb72c1mq2k13w0000gn/T/c074bc092911af3a35c92415033685a1/components-workspaces-commandpalette.test.js:109:15)     at"
Components/Home/Activity heatmap Populated smoke-test	passed	208	smoke	
Components/Home/Activity heatmap No History smoke-test	passed	77	smoke	
Components/Home/Recent commits Populated smoke-test	passed	200	smoke	
Components/Home/Recent commits No History smoke-test	passed	22	smoke	
Components/InlineLoader Indeterminate smoke-test	passed	121	smoke	
Components/InlineLoader Determinate smoke-test	passed	28	smoke	
Components/Home/Composer With Workspaces play-test	failed	1189	play	"  Unable to find role=""menu"" and name ""Workspaces""  Ignored nodes: comments, script, style <body   class=""sb-main-padded sb-show-main"" >           <div     class=""sb-preparing-story sb-wrapper""     inert=""""   >             <div       class=""sb-loader""     />         </div>        <div     class=""sb-preparing-docs sb-wrapper""     inert=""""   >             <div       class=""sb-previewBlock""     >                   <div         class=""sb-previewBlock_header""       >                         <div           class=""sb-previewBlock_icon""         />                         <div           class=""sb-previ"
Components/Home/Composer No Workspaces smoke-test	passed	86	smoke	
Pages/Onboarding Loading smoke-test	passed	204	smoke	
Pages/Onboarding Admin Flow Welcome smoke-test	passed	31	smoke	
Pages/Auth Device Loading smoke-test	passed	203	smoke	
Pages/Auth Sign-in smoke-test	passed	45	smoke	
Components/Connections/GitHub/SelfHostedCredentials Self Hosted Credentials smoke-test	passed	257	smoke	
Components/Connections/Atlassian/Steps/RegisterOAuth 3LO credential form smoke-test	passed	273	smoke	
Components/Connections/Atlassian/Steps/WaitForInstall Wait For Install smoke-test	passed	150	smoke	
Components/Connections/Atlassian/Steps/SetupComplete Setup Complete smoke-test	passed	262	smoke	
Components/Connections/Atlassian/Steps/LinkGitHub Link Git Hub smoke-test	passed	213	smoke	
Components/Connections/Linear/AddConnectorButton Available smoke-test	passed	133	smoke	
Components/Connections/Slack/AddButton Catalog Row smoke-test	passed	238	smoke	
Components/Connections/Linear/Mark Product Mark smoke-test	passed	129	smoke	
Components/Onboarding/Slides/Overview Overview smoke-test	passed	182	smoke	
Components/Connections/EmptyState Empty State smoke-test	passed	149	smoke	
Components/Connections/Atlassian/Mark Mark smoke-test	passed	115	smoke	
